"naps","city","p","latitude","longitude","date.time","pollutant","concentration"
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 00:00:00,"O3",20
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 00:00:00,"NO2",4
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 00:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 01:00:00,"O3",22
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 01:00:00,"NO2",4
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 01:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 02:00:00,"O3",23
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 02:00:00,"NO2",4
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 02:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 03:00:00,"O3",NA
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 03:00:00,"NO2",NA
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 03:00:00,"SO2",NA
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 04:00:00,"O3",17
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 04:00:00,"NO2",4
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 04:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 05:00:00,"O3",15
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 05:00:00,"NO2",3
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 05:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 06:00:00,"O3",21
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 06:00:00,"NO2",2
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 06:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 07:00:00,"O3",27
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 07:00:00,"NO2",1
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 07:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 08:00:00,"O3",31
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 08:00:00,"NO2",1
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 08:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 09:00:00,"O3",32
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 09:00:00,"NO2",1
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 09:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-07-01 10:00:00,"O3",33
